662,yangjiang,阳江,广东
663,jieyang,揭阳,广东
668,maoming,茂名,广东
691,xishuangbanna,西双版纳,云南
692,dehong,德宏,云南
701,yingtan,鹰潭,江西
710,xiangfan,襄阳,湖北
711,ezhou,鄂州,湖北
712,xiaogan,孝感,湖北
713,huanggang,黄冈,湖北
714,huangshi,黄石,湖北
715,xianning,咸宁,湖北
716,jingzhou,荆州,湖北
717,yichang,宜昌,湖北
719,shiyan,十堰,湖北
722,suizhou,随州,湖北
724,jingmen,荆门,湖北
728,enshi,恩施,湖北
729,shennongjia,神农架,湖北
730,yueyang,岳阳,湖南
731,changsha,长沙,湖南
732,xiangtan,湘潭,湖南
733,zhuzhou,株洲,湖南
734,hengyang,衡阳,湖南
735,chenzhou,郴州,湖南
736,changde,常德,湖南
737,yiyang,益阳,湖南
738,loudi,娄底,湖南
739,shaoyang,邵阳,湖南
743,xiangxi,湘西,湖南
744,zhangjiajie,张家界,湖南
745,huaihua,怀化,湖南
746,yongzhou,永州,湖南
750,jiangmen,江门,广东
751,shaoguan,韶关,广东
752,huizhou,惠州,广东
753,meizhou,梅州,广东
754,shantou,汕头,广东
755,shenzhen,深圳,广东
756,zhuhai,珠海,广东
757,foshan,佛山,广东
758,zhaoqing,肇庆,广东
759,zhanjiang,湛江,广东
760,zhongshan,中山,广东
762,heyuan,河源,广东
763,qingyuan,清远,广东
766,yunfu,云浮,广东
768,chaozhou,潮州,广东
769,dongguan,东莞,广东
770,fangchenggang,防城港,广西
771,nanning,南宁,广西
772,liuzhou,柳州,广西
773,guilin,桂林,广西
774,wuzhou,梧州,广西
775,guigang,贵港,广西
776,bose,百色,广西
777,qinzhou,钦州,广西
778,hechi,河池,广西
779,beihai,北海,广西
790,xinyu,新余,江西
791,nanchang,南昌,江西
792,jiujiang,九江,江西
793,shangrao,上饶,江西
794,fz,抚州,江西
795,yc,宜春,江西
796,jian,吉安,江西
797,ganzhou,赣州,江西
798,jingdezhen,景德镇,江西
799,pingxiang,萍乡,江西
812,panzhihua,攀枝花,四川
813,zigong,自贡,四川
