cmguoqingjianzhitest,cmguoqingjianzhitest,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
cmshujiajianzhitest,cmshujiajianzhitest,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
cmxueshengjianzhi,cmxueshengjianzhi,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
cuxiao,cuxiao,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
liyi,liyi,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
paifajianzhi,paifajianzhi,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
shixisheng,shixisheng,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
shougongzhizuo,shougongzhizuo,jianzhi,兼职,101,big_gongzuo,4.工作大类,招聘
chuzhongjiaoyu,chuzhongjiaoyu,jiaoyupeixun,培训,101,big_life,5.生活服务,服务
gaozhongjiaoyu,gaozhongjiaoyu,jiaoyupeixun,培训,101,big_life,5.生活服务,服务
jiajiaopeixun,jiajiaopeixun,jiaoyupeixun,培训,101,big_life,5.生活服务,服务
shutuoban,shutuoban,jiaoyupeixun,培训,101,big_life,5.生活服务,服务
qiuzhi,qiuzhi,qiuzhi,qiuzhi,100,big_gongzuo,4.工作大类,招聘
cmsiji,cmsiji,qiuzhi,qiuzhi,101,big_gongzuo,4.工作大类,招聘
jianli,jianli,qiuzhi,qiuzhi,101,big_gongzuo,4.工作大类,招聘
jianzhiqiuzhi,jianzhiqiuzhi,qiuzhi,qiuzhi,101,big_gongzuo,4.工作大类,招聘
qiuzhijianli,qiuzhijianli,qiuzhi,qiuzhi,101,big_gongzuo,4.工作大类,招聘
sijiqiuzhi,sijiqiuzhi,qiuzhi,qiuzhi,101,big_gongzuo,4.工作大类,招聘
UNKNOWN,所有,all,所有,99,UNKNOWN,7.未知类目,所有
